name,department,rating,num_ratings,would_take_again_pct,level_of_difficulty
Timothy Rawson,Liberal Studies,3.9,9,100%,3.1
Yaso Thiru,Business Administration,3.7,7,100%,3.6
Nora Tobin,Counseling,3.5,12,N/A,1.6
Sharon Sibbald,Liberal Studies,3.9,7,N/A,2.7
Mark Faller,Liberal Studies,4.2,11,100%,3.5
Marilyn Barry,English,0.0,0,N/A,0
Leslie Cornick,Statistics,2.6,15,100%,3.2
Jason Geck,Environmental Science,4.8,2,N/A,4
Greg Thoelke,Health Science,4.8,2,N/A,1
Kathleen Cronen,Business,2.8,5,N/A,2.8
Dave Miracle,Management,0.0,0,N/A,0
David McGivern,Outdoor Education,3.5,1,N/A,5
Karen Baker,Education,5.0,2,N/A,2
Linda Black,Education,4.5,1,N/A,4
Regina Boisclair,Liberal Studies,2.5,2,50%,3
Jim Brown,Environmental Science,4.5,1,N/A,4
Ellen Cole,Counseling,0.0,0,N/A,0
Amanda Coyne,Liberal Studies,5.0,1,100%,4
Beverly Dennis,Business Administration,5.0,3,100%,3
Mei Mei Evans,Liberal Studies,3.9,4,0%,2
Scott Fredrickson,Business Administration,4.0,5,N/A,2.2
Renee Georg,Counseling,5.0,1,N/A,3
Virginia Golsan,Counseling,5.0,1,N/A,2
Carl Hild,Business Administration,0.0,0,N/A,0
Jeffery Ickes,Counseling,5.0,1,N/A,3
Virginia Juettner,Education,0.0,0,N/A,0
Michael Kaplan,Outdoor Education,5.0,1,100%,3
Kim Kjaersgaard,Counseling,0.0,0,N/A,0
Robert Lane,Counseling,0.0,0,N/A,0
Dale Lehman,Business Administration,4.9,4,N/A,4
Michael Loso,Environmental Science,4.3,2,N/A,3.5
Carole Lund,Business Administration,1.0,2,0%,4.5
Karen McCain,Education,0.0,0,N/A,0
Stephanie Morgan,Business Administration,4.9,3,100%,3
Theodore Munsch,Education,0.0,0,N/A,0
Richard Myers,Environmental Science,4.0,2,N/A,2
Douglas North,Liberal Studies,0.0,0,N/A,0
Lynn Paulson,Liberal Studies,0.0,0,N/A,0
Eric Redding,Liberal Studies,0.0,0,100%,0
Steven Rubinstein,Outdoor Education,4.5,1,67%,3
Ana Sirovic,Environmental Science,3.5,1,N/A,5
Tracy Stewart,Business Administration,0.0,0,N/A,0
Esther Sullivan,Liberal Studies,5.0,4,100%,1.5
Stanley Tobin,Environmental Science,3.0,3,N/A,4
Paul Twardock,Outdoor Education,0.0,0,N/A,0
Mary Wladkowski,Business Administration,5.0,1,N/A,5
Claudette Engbloom-Bradley,Education,2.0,1,N/A,2
DB Palmer,Psychology,4.8,2,N/A,3.5
Father Michael Oleksa,History,4.0,1,N/A,4
Mayank Lev,Accounting,0.0,0,N/A,0
Gregg Bernard,Accounting,0.0,0,N/A,0
Testing Prof,Accounting,4.5,1,N/A,1
Amanda Booth,Geology,0.0,0,N/A,0
Prof Tester,Engineering,0.0,0,N/A,0
Kevin Whit,Accounting,0.0,0,N/A,0
Leslie Cornick,Environmental Science,1.0,2,N/A,4.5
ELOISE BROWN,Environmental Science,2.5,1,N/A,4
Ebony McClain-Owens,Psychology,0.0,0,N/A,0
Kristin English,Business,0.0,0,N/A,0
Nathan Wolf,Biology,4.3,3,100%,3.3
Tamara McCoy,Music,3.5,2,91%,2
Mala Chaudhery-Malgeri,Psychology,4.0,4,75%,4
David Onofrychuk,Liberal Studies,4.0,6,84%,2.8
Callie Morgigno,Humanities,2.0,1,0%,3
Ann McCoy,Education,0.0,0,N/A,0
Dorothy Dunne,Psychology,0.0,0,N/A,0
Alex Lee,Philosophy,5.0,1,100%,4
Erin Larson,Environmental Science,5.0,1,100%,3
Natalie Dawson,Environmental Science,0.0,0,N/A,0
Pamela Maslyk,Environmental Science,5.0,6,100%,3.8
Ian Williams,Mathematics,0.0,0,N/A,0
Roman Dial,Mathematics,5.0,4,100%,3
Dee Barker,Chemistry,4.0,1,100%,3
Kevin Jones,Religion,4.0,1,100%,3
Eva Latosuo,Outdoor Education,2.5,2,50%,3
Farrah Greene-Palmer,Psychology,1.0,1,0%,5
Meredith Marchioni,Social Science,5.0,2,100%,3
Gina Miller,Liberal Studies,4.3,6,100%,3
Max Treinen,Philosophy,1.0,1,0%,4
Beverly Holmes,Business Administration,5.0,1,100%,3
David Scheel,Environmental Science,3.1,5,100%,4
Nathan Anderson,Mathematics,2.0,1,100%,3
Victoria Steere,Business Administration,2.3,3,50%,3.7
